,Ticker,Price,Market Capitalization,Number Of Shares to Buy
166,ETR,103.66,21093116196,N/A
167,EVRG,62.99,14458496891,N/A
168,EW,75.18,46480824315,N/A
169,EXC,42.78,42512284043,N/A
170,EXPD,104.92,16696589409,N/A
171,EXPE,93,14002770432,N/A
172,EXR,141.04,18888292309,N/A
173,F,12.25,48383114782,N/A
174,FANG,134.04,23590849261,N/A
175,FAST,46.3,26518782444,N/A
176,FB,196.64,561210585170,N/A
177,FBHS,57.62,,N/A
178,FCX,39.84,56944395289,N/A
179,FDX,181.28,45754553539,N/A
180,FE,41.68,23830673168,N/A
181,FFIV,140.05,8454623831,N/A
182,FIS,68.19,40462545105,N/A
183,FISV,99.4,63121790754,N/A
184,FITB,33.13,22740304980,N/A
185,FLIR,57.34,7565007314,N/A
186,FLS,30.49,3984916954,N/A
187,FLT,180.26,13294600774,N/A
188,FMC,121.7,15330052829,N/A
189,FOX,28.95,16285680963,N/A
190,FOXA,30.85,16285680972,N/A
191,FRC,120.46,21640254853,N/A
192,FRT,102.72,8341837683,N/A
193,FTI,11.82,5276921521,N/A
194,FTNT,47.45,37069648722,N/A
195,FTV,63.93,22618961614,N/A
196,GD,244.62,67160166840,N/A
197,GE,71.29,77896311701,N/A
198,GILD,85.85,107676834093,N/A
199,GIS,84.41,49769040622,N/A
200,GL,120.19,11690908824,N/A
201,GLW,34.39,29087453221,N/A
202,GM,35,49724387545,N/A
203,GOOG,86.77,1042954819978,N/A
204,GOOGL,86.2,1042954820042,N/A
205,GPC,168.57,23795568601,N/A
206,GPN,101.98,27575508869,N/A
207,GPS,11.41,4149781640,N/A
208,GRMN,95.32,18269406094,N/A
209,GS,343.76,116409025971,N/A
210,GWW,537.53,27160994740,N/A
211,HAL,38.95,35368421964,N/A
212,HAS,63.3,8742598603,N/A
213,HBAN,14.26,20573390476,N/A
214,HBI,7.22,2519409542,N/A
215,HCA,250.3,70763990010,N/A
216,HD,315.47,322954980973,N/A
217,HES,140.78,43403665843,N/A
218,HIG,77.08,24519065447,N/A
219,HII,226.95,9056107495,N/A
220,HLT,126.84,34304641196,N/A
221,HOLX,77.63,19084074711,N/A
222,HON,204.47,137469726777,N/A
223,HPE,16.45,21085887199,N/A
224,HPQ,27.21,26724187109,N/A
225,HRB,35.7,5550213134,N/A
226,HRL,46.05,25162834134,N/A
227,HSIC,80.03,10847872427,N/A
228,HST,15.79,11290288346,N/A
229,HSY,223.08,45749246400,N/A
230,HUM,488.02,61783487190,N/A
231,HWM,39.32,16267157295,N/A
232,IBM,141.11,127581271083,N/A
233,ICE,102.58,57296225693,N/A
234,IDXX,419.2,34716868374,N/A
235,IEX,225.74,17025561146,N/A
236,IFF,107.29,27354900124,N/A
237,ILMN,201.15,31640895000,N/A
238,INCY,80.16,17833633515,N/A
239,INFO,108.61,45801486922,N/A
240,INTC,27.56,113740120000,N/A
241,INTU,375.62,105521179967,N/A
242,IP,36.2,12875254326,N/A
243,IPG,35.23,13687725815,N/A
244,IPGP,99.99,4870948756,N/A
245,IQV,207.05,38457471762,N/A
246,IR,53.39,21618985419,N/A
247,IRM,48.95,14230452111,N/A
248,ISRG,268.62,94926163193,N/A
249,IT,324.77,25664747893,N/A
250,ITW,218.88,67236954636,N/A
251,IVZ,18.68,8495376477,N/A
252,J,123.61,15650417972,N/A
253,JBHT,169.2,17518531972,N/A
254,JCI,65.03,44656353902,N/A
255,JKHY,173.78,12677152467,N/A
256,JNJ,178.8,467469668932,N/A
257,JNPR,31.17,10116395652,N/A
258,JPM,135.35,397009281591,N/A
259,K,70.66,24032172600,N/A
260,KEY,17.84,16644177539,N/A
261,KEYS,168.87,30193189330,N/A
262,KHC,41.33,50626363678,N/A
263,KIM,20.97,0,N/A
264,KLAC,373.47,52927543585,N/A
265,KMB,135.54,45743678421,N/A
266,KMI,18.21,40931383113,N/A
267,KMX,63.34,10008701200,N/A
268,KO,62.2,268984725021,N/A
269,KR,45.16,32326515875,N/A
270,KSS,26.27,2902418043,N/A
271,KSU,293.59,26710947380,N/A
272,L,59.21,14058055749,N/A
273,LB,79.92,21957908112,N/A
274,LDOS,104.01,14217080824,N/A
275,LEG,33.47,4437365478,N/A
276,LEN,93.78,26721032026,N/A
277,LH,239.97,21261342000,N/A
278,LHX,206.13,39247728133,N/A
279,LIN,305.49,150472380157,N/A
280,LKQ,53.94,14411418691,N/A
281,LLY,358.92,341037851868,N/A
282,LMT,477.07,125027625528,N/A
283,LNC,31.16,5272753858,N/A
284,LNT,54.13,13587811658,N/A
285,LOW,200.77,124618052837,N/A
286,LRCX,417.06,56878365872,N/A
287,LUV,33.53,19908504694,N/A
288,LVS,51.53,39377487378,N/A
289,LW,96.03,13812110520,N/A
290,LYB,86.93,28306531961,N/A
291,LYV,71.66,16544852129,N/A
292,MA,351.2,334975627999,N/A
293,MAA,153.01,17669138524,N/A
294,MAR,148.88,47126417583,N/A
295,MAS,48.14,10856971981,N/A
296,MCD,262.16,192012247527,N/A
297,MCHP,69.1,38005601861,N/A
298,MCK,374.05,53037851194,N/A
299,MCO,276.69,50689608000,N/A
300,MDLZ,66.19,90390289045,N/A
301,MDT,80.03,106454303639,N/A
302,MET,72.6,56962410483,N/A
303,MGM,35.15,13498313404,N/A
304,MHK,113.04,7181886977,N/A
305,MKC,84.45,22659414311,N/A
306,MKTX,298.23,11224429723,N/A
307,MLM,337.97,20984791851,N/A
308,MMC,166.14,82407019327,N/A
309,MMM,122.96,67965268828,N/A
310,MNST,100.38,52372623773,N/A
311,MO,45.37,81310871679,N/A
312,MOS,44.69,15216097409,N/A
313,MPC,115.73,54238118203,N/A
314,MRK,113.64,288122398485,N/A
315,MRO,25.87,16429205021,N/A
316,MS,85.92,145214201280,N/A
317,MSCI,459.12,36710393174,N/A
318,MSFT,222.31,1657655067218,N/A
319,MSI,255.12,42656882680,N/A
320,MTB,146.24,25242975280,N/A
321,MTD,1489.51,33207417457,N/A
322,MU,54.71,59698269160,N/A
323,MXIM,103.14,27699922819,N/A
324,MYL,15.855,8586211830,N/A
325,NBL,8.45,4095292500,N/A
326,NCLH,12.76,5377014236,N/A
327,NDAQ,60.24,29594678646,N/A
328,NEE,82.63,164199332565,N/A
329,NEM,51.21,40647360415,N/A
330,NFLX,309.7,136823913978,N/A
331,NI,27.13,11018424698,N/A
332,NKE,120.62,188167200000,N/A
333,NLOK,21.62,12352934758,N/A
334,NLSN,27.98,10068164861,N/A
335,NOC,528.52,81345652689,N/A
336,NOV,20.49,8048573610,N/A
337,NOW,366.32,73996640000,N/A
338,NRG,31.75,7314698509,N/A
339,NSC,247.48,57295137433,N/A
340,NTAP,61.33,13221113985,N/A
341,NTRS,91.51,19072118236,N/A
342,NUE,137.05,35159315456,N/A
343,NVDA,142.65,355198500000,N/A
344,NVR,4639.53,14827413613,N/A
345,NWL,14.11,5835896000,N/A
346,NWS,18.89,10793315270,N/A
347,NWSA,18.68,10793315264,N/A
348,O,63.39,39755283249,N/A
349,ODFL,281.48,31098366961,N/A
350,OKE,64.83,28976017577,N/A
351,OMC,85.12,17357340815,N/A
352,ORCL,84.31,227321090430,N/A
353,ORLY,834.29,52206456788,N/A
354,OTIS,80.13,33381042350,N/A
355,OXY,62.22,56552638351,N/A
356,PAYC,294.62,17683201115,N/A
357,PAYX,114.36,41222954429,N/A
358,PBCT,19.41,8371850392,N/A
359,PCAR,97.78,34004713484,N/A
360,PEAK,25.96,13954542138,N/A
361,PEG,61.12,30495808353,N/A
362,PEP,177.1,243992300914,N/A
363,PFE,49.66,278757199907,N/A
364,PFG,84.39,20648780648,N/A
365,PG,150.34,358635990019,N/A
366,PGR,131.53,76954219219,N/A
367,PH,298.1,38277748411,N/A
368,PHM,47.67,10860166243,N/A
369,PKG,129.88,12018378262,N/A
370,PKI,138.81,17521145667,N/A
371,PLD,112.85,104169417414,N/A
372,PM,100.82,156291396390,N/A
373,PNC,159.37,64276954289,N/A
374,PNR,46.16,7593244021,N/A
375,PNW,73.65,8332775951,N/A
376,PPG,123.11,28934222475,N/A
377,PPL,29.24,21529946624,N/A
378,PRGO,35.51,4781057380,N/A
379,PRU,99.44,36991680000,N/A
380,PSA,271.27,47645425513,N/A
381,PSX,103.02,48690570583,N/A
382,PVH,76.84,4869457454,N/A
383,PWR,135.57,19373109719,N/A
384,PXD,227.13,54956144263,N/A
385,PYPL,76.27,86949915120,N/A
386,QCOM,109.4,122637400000,N/A
387,QRVO,90.29,9154455517,N/A
388,RCL,53.38,13621615961,N/A
389,RE,342.14,13399924733,N/A
390,REG,62.29,10659234229,N/A
391,REGN,723.76,77502963127,N/A
392,RF,21.67,20249436282,N/A
393,RHI,74.21,8051676357,N/A
394,RJF,107.25,23065570028,N/A
395,RL,114.46,7758098800,N/A
396,RMD,205.07,30039402106,N/A
397,ROK,258.58,29696400824,N/A
398,ROL,36.31,17881674151,N/A
399,ROP,435.2375,46157830853,N/A
400,ROST,118.4,40773527466,N/A
401,RSG,125.52,39664437487,N/A
402,RTX,100.88,148299730982,N/A
403,SBAC,281.37,30378263427,N/A
404,SBUX,104.43,119864754000,N/A
405,SCHW,83.11,150914934215,N/A
406,SEE,50.04,7238662401,N/A
407,SHW,227.75,59019912994,N/A
408,SIVB,232.59,13747028201,N/A
409,SJM,159.39,16984175220,N/A
410,SLB,52.67,74685732129,N/A
411,SLG,34.31,2206683710,N/A
412,SNA,230.05,12228224702,N/A
413,SNPS,315.04,48017512798,N/A
414,SO,70.38,76620793635,N/A
415,SPG,117.42,38389974779,N/A
416,SPGI,336.08,111914640000,N/A
417,SRE,152.48,47929551190,N/A
418,STE,187.29,18695840867,N/A
419,STT,78.71,28881858970,N/A
420,STX,53.49,11166572400,N/A
421,STZ,208.68,33644328243,N/A
422,SWK,78.64,11634142051,N/A
423,SWKS,92.42,14802085535,N/A
424,SYF,31.98,14408314867,N/A
425,SYK,249.82,94539364863,N/A
426,SYY,76.27,38651159208,N/A
427,T,19.21,136967300000,N/A
428,TAP,49.58,758773758,N/A
429,TDG,636.46,34607255370,N/A
430,TDY,398.43,18674849584,N/A
431,TEL,116.26,36881225254,N/A
432,TFC,44.44,58961493839,N/A
433,TFX,253,11867328055,N/A
434,TGT,154.26,71000113304,N/A
435,TIF,131.46,15960711882,N/A
436,TJX,80.65,93191409617,N/A
437,TMO,556.94,218429393516,N/A
438,TMUS,144.48,179755389280,N/A
439,TPR,39.72,9570982876,N/A
440,TROW,108.21,24181127307,N/A
441,TRV,187.55,43951878314,N/A
442,TSCO,219.63,24261042499,N/A
443,TSN,64.36,23145786800,N/A
444,TT,171.95,39601339547,N/A
445,TTWO,105.96,17782114591,N/A
446,TWTR,53.7,41093718362,N/A
447,TXN,166.93,151500945884,N/A
448,TXT,70.07,14628617043,N/A
449,TYL,306.52,12763461535,N/A
450,UA,9.19,4056450625,N/A
451,UAA,10.34,4056450627,N/A
452,UAL,41.24,13474951346,N/A
453,UDR,37.25,12126431305,N/A
454,UHS,148.97,10870378440,N/A
455,ULTA,488.94,24877644173,N/A
456,UNH,489.96,457793671807,N/A
457,UNM,40.89,8134692747,N/A
458,UNP,203.08,124853746464,N/A
459,UPS,173.84,150357372587,N/A
460,URI,364.09,25234524847,N/A
461,USB,45.67,67857558606,N/A
462,V,211.11,399085420506,N/A
463,VAR,177.07,16261898618,N/A
464,VFC,29.45,11443271203,N/A
465,VLO,126.59,48803391762,N/A
466,VMC,175.46,23319838708,N/A
467,VNO,21.37,4099122537,N/A
468,VRSK,177.64,27780755438,N/A
469,VRSN,200.04,21207531858,N/A
470,VRTX,287.89,73898902116,N/A
471,VTR,46.76,18690812979,N/A
472,VZ,41.7,175132387540,N/A
473,WAB,99.88,18164962256,N/A
474,WAT,347.03,20616210752,N/A
475,WBA,35.19,30345541554,N/A
476,WDC,35.23,11190819893,N/A
477,WEC,92.41,29149305010,N/A
478,WELL,67.39,31843220246,N/A
479,WFC,42.42,161641023893,N/A
480,WHR,149.76,8158678295,N/A
481,WM,153.88,63164215532,N/A
482,WMB,32.02,39011241293,N/A
483,WMT,143.27,386370543737,N/A
484,WRB,71.88,19082423577,N/A
485,WRK,35.39,9007393966,N/A
486,WST,233.7,17301509062,N/A
487,WU,13.88,5360050815,N/A
488,WY,30.3,22298285100,N/A
489,WYNN,91.34,10350063402,N/A
490,XEL,69.24,37891485863,N/A
491,XLNX,194.92,48414620999,N/A
492,XOM,109.21,449758824507,N/A
493,XRAY,33.09,7111434308,N/A
494,XRX,15.74,2449185506,N/A
495,XYL,107.45,19364803613,N/A
496,YUM,127.7,35971540488,N/A
497,ZBH,126.08,26458189583,N/A
498,ZBRA,260.06,13426845268,N/A
499,ZION,49.35,7383636160,N/A
500,ZTS,145.45,67790171673,N/A
